ID	@	City	@	Project ID	@	Betterplace NGO	@	Project Titel	@	Link to project	@	SDG_1	@	SDG_2	@	SDG_3	@	SDG_4	@	CHECKED
63	@		@	83472	@	Bach Collegium München e.V. - Coronahilfe	@	Bach Collegium München e.V. - Coronahilfe	@	https://www.betterplace.org/de/projects/83472-bach-collegium-muenchen-e-v-coronahilfe	@	11	@		@		@		@	MUNCHEN
64	@		@	2816	@	kick it international e.V.	@	kick it München	@	https://www.betterplace.org/de/projects/2816-kick-it-muenchen	@	4	@		@		@		@	MUNCHEN
65	@		@	55460	@	Münchner Freiwillige - Wir helfen e.V.	@	Hilf uns, Ehrenamtliche in München zu unterstützen!	@	https://www.betterplace.org/de/projects/55460-hilf-uns-ehrenamtliche-in-muenchen-zu-unterstuetzen	@	16	@		@		@		@	MUNCHEN
66	@		@	71925	@	Münchner Flüchtlingsrat	@	Solidarity City München	@	https://www.betterplace.org/de/projects/71925-solidarity-city-muenchen	@	5	@	8	@		@		@	MUNCHEN
67	@		@	66475	@	THRIVE International e.V.	@	Hilf uns VR-Trainings für eine Münchener Pflegeeinrichtung zu entwickeln!	@	https://www.betterplace.org/de/projects/66475-hilf-uns-vr-trainings-fuer-eine-muenchener-pflegeeinrichtung-zu-entwickeln	@	3	@		@		@		@	MUNCHEN
68	@	HAMBURG	@	77958	@	StrassenBLUES e.V.	@	StrassenSPENDE für Obdachlose während Corona	@	https://www.betterplace.org/de/projects/77958-strassenspende-fuer-obdachlose-waehrend-corona	@	1	@		@		@		@	HAMBURG
69	@		@	84735	@	Visions for Children e.V	@	2x in Bildung, bitte! Spendenverdopplungsaktion für Schulbauprojekte	@	https://www.betterplace.org/de/projects/84735-2x-in-bildung-bitte-spendenverdopplungsaktion-fuer-schulbauprojekte	@	3	@		@		@		@	HAMBURG
70	@		@	24394	@	Viva con Agua de Sankt Pauli e.V	@	Jetzt Wasserprojekte weltweit unterstützen!	@	https://www.betterplace.org/de/projects/24394-jetzt-wasserprojekte-weltweit-unterstuetzen	@	6	@		@		@		@	HAMBURG
71	@		@	40502	@	Westwind Hamburg e.V. |	@	Westwind Hamburg e.V. - Fahrräder für Bedürftige - Mobilität in Hamburg	@	https://www.betterplace.org/de/projects/40502-westwind-hamburg-e-v-fahrraeder-fuer-beduerftige-mobilitaet-in-hamburg	@	1	@	9	@	13	@		@	HAMBURG
72	@		@	8427	@	CaFée mit Herz e. V	@	Eine Mahlzeit für arme und obdachlose Menschen	@	https://www.betterplace.org/de/projects/8427-eine-mahlzeit-fuer-arme-und-obdachlose-menschen	@	2	@		@		@		@	HAMBURG
73	@		@	558	@	Kinder-Hospiz Sternenbrücke	@	Kinder-Hospiz Sternenbrücke	@	https://www.betterplace.org/de/projects/558-kinder-hospiz-sternenbruecke	@	3	@		@		@		@	HAMBURG
